config,trace,instr,cycles,BRANCH_DIRECT_JUMP_mpki,BRANCH_INDIRECT_mpki,BRANCH_CONDITIONAL_mpki,BRANCH_DIRECT_CALL_mpki,BRANCH_INDIRECT_CALL_mpki,BRANCH_RETURN_mpki,BRANCH_DIRECT_JUMP_count,BRANCH_INDIRECT_count,BRANCH_CONDITIONAL_count,BRANCH_DIRECT_CALL_count,BRANCH_INDIRECT_CALL_count,BRANCH_RETURN_count
blbp64_untuned,burntsushi__ripgrep-2576_w00001,200000000,103283780,0.001085,0.01628,0.3886,0.00141,0.000805,0.1575,1623497,3406794,25500978,1565110,481375,2045332
blbp64_untuned,burntsushi__ripgrep-2576_w00002,200000002,113920550,1.33,0.00255,2.629,0.00553,0.6297,4.191,5926582,180244,6654477,4130321,4946194,9074741
blbp64_untuned,burntsushi__ripgrep-2576_w00003,200000004,913712479,0.1501,0.2724,5.12,0.00155,1.82,0.6621,526475,566074,38138986,619449,6370174,6988341
blbp64_untuned,gin-gonic__gin-3820_w00000,200000000,188949872,0.2105,1.143,4.88,0.4612,0.3241,0.6445,1338495,1143929,27723101,3293245,558601,3848768
blbp64_untuned,gin-gonic__gin-3820_w00001,200000000,152907723,0.4756,0.1016,4.457,0.4873,0.9583,1.276,4178037,101998,29160226,3192418,1123607,4269760
blbp64_untuned,gin-gonic__gin-3820_w00002,200000000,140688131,0.2967,0.03324,2.181,0.3633,0.482,1.159,3313961,32574,24719586,4147969,505196,4568267
blbp64_untuned,gin-gonic__gin-3820_w00003,200000003,107634295,0.02366,0.1838,1.342,0.02903,0.02878,0.3125,1814411,1808307,29621373,2061826,815715,2875997
blbp64_untuned,immutable-js__immutable-js-2006_w00000,200000000,188123282,0.2099,1.135,4.875,0.4569,0.3198,0.6431,1339278,1142914,27805321,3292905,557445,3846226
blbp64_untuned,immutable-js__immutable-js-2006_w00001,200000004,181277418,0.1963,0.308,4.269,0.1867,0.1747,0.6163,2686077,338249,25535956,3902266,371430,4188045
blbp64_untuned,immutable-js__immutable-js-2006_w00002,200000001,133571756,0.2699,0.1466,1.969,0.3165,0.1246,0.7593,2858426,255677,26416035,3790684,212291,3916686
blbp64_untuned,immutable-js__immutable-js-2006_w00003,200000001,176950979,0.2706,0.2553,4.259,0.3197,0.2124,0.6617,2569447,302220,24980435,3959046,442033,4323140
blbp64_untuned,prometheus__prometheus-15142.toolchain_w00000,200000001,125775351,0.224,0.00232,1.904,0.3905,0.01455,1.178,2868742,2270,22503194,4834927,38986,4626546
blbp64_untuned,prometheus__prometheus-15142.toolchain_w00001,200000001,153557273,0.164,0.03737,1.783,0.1167,0.04693,0.9518,3980965,95753,28286161,4359730,293841,4610203
