trace,benchmark,weight,config,label,instructions,cycles,ipc,mpki,dir_mpki,cycwpki,accuracy,rv_delivered_pct,speedup,mpki_reduction_pct,dir_mpki_reduction_pct,cycwpki_reduction_pct
707.ntest_r.sp1,707.ntest_r,0.0958,cbp_ddtage,DD-TAGE (Ros),200000004,111458263,1.794394,2.1660,2.0791,214.403,97.1100,0.00,1.005572,8.1035,8.4626,5.8407
707.ntest_r.sp1,707.ntest_r,0.0958,cbp_runlts,RUNLTS (no RV),200000004,111237006,1.797963,2.0700,1.9832,212.957,97.2400,0.00,1.007572,12.1765,12.6854,6.4758
707.ntest_r.sp1,707.ntest_r,0.0958,cbp_runlts_rv,RUNLTS (load RV),200000004,111241858,1.797884,2.0750,1.9887,212.862,97.2300,14.33,1.007528,11.9644,12.4450,6.5173
707.ntest_r.sp1,707.ntest_r,0.0958,cbp_perfdir,Perfect direction,200000004,104385653,1.915972,0.0886,0.0000,12.325,99.8800,0.00,1.073704,96.2414,100.0000,94.5870
707.ntest_r.sp1,707.ntest_r,0.0958,cbp_perfall,Perfect direction+target,200000004,104169201,1.919953,0.0000,0.0000,0.000,100.0000,0.00,1.075935,100.0000,100.0000,100.0000
707.ntest_r.sp2,707.ntest_r,0.1001,cbp_tagescl64,TAGE-SC-L 64KB,200000004,113054373,1.769060,0.6608,0.5984,129.685,98.7800,0.00,1.000000,0.0000,0.0000,0.0000
707.ntest_r.sp2,707.ntest_r,0.1001,cbp_tagescl192,TAGE-SC-L 192KB,200000004,113017994,1.769630,0.6499,0.5873,129.287,98.8000,0.00,1.000322,1.6495,1.8433,0.3068
707.ntest_r.sp2,707.ntest_r,0.1001,cbp_ddtage,DD-TAGE (Ros),200000004,113010995,1.769739,0.6482,0.5856,128.950,98.8000,0.00,1.000384,1.9068,2.1274,0.5668
707.ntest_r.sp2,707.ntest_r,0.1001,cbp_runlts,RUNLTS (no RV),200000004,113002055,1.769879,0.6423,0.5796,128.158,98.8100,0.00,1.000463,2.7996,3.1352,1.1776
707.ntest_r.sp2,707.ntest_r,0.1001,cbp_runlts_rv,RUNLTS (load RV),200000004,112981370,1.770203,0.6371,0.5744,127.695,98.8200,13.72,1.000646,3.5866,4.0025,1.5346
707.ntest_r.sp2,707.ntest_r,0.1001,cbp_perfdir,Perfect direction,200000004,110915410,1.803176,0.0660,0.0000,21.168,99.8800,0.00,1.019285,90.0166,100.0000,83.6774
707.ntest_r.sp2,707.ntest_r,0.1001,cbp_perfall,Perfect direction+target,200000004,110589540,1.808489,0.0000,0.0000,0.000,100.0000,0.00,1.022288,100.0000,100.0000,100.0000
708.sqlite_r.sp0,708.sqlite_r,0.4708,cbp_tagescl64,TAGE-SC-L 64KB,200000000,174681808,1.144939,0.0214,0.0214,6.875,99.9900,0.00,1.000000,0.0000,0.0000,0.0000
708.sqlite_r.sp0,708.sqlite_r,0.4708,cbp_tagescl192,TAGE-SC-L 192KB,200000000,174669738,1.145018,0.0238,0.0237,7.607,99.9900,0.00,1.000069,-11.0851,-11.1241,-10.6465
708.sqlite_r.sp0,708.sqlite_r,0.4708,cbp_ddtage,DD-TAGE (Ros),200000000,174655393,1.145112,0.0171,0.0171,5.534,99.9900,0.00,1.000151,19.8784,19.9297,19.5017
708.sqlite_r.sp0,708.sqlite_r,0.4708,cbp_runlts,RUNLTS (no RV),200000000,174705988,1.144780,0.0328,0.0328,10.602,99.9800,0.00,0.999862,-53.5080,-53.5831,-54.2182
708.sqlite_r.sp0,708.sqlite_r,0.4708,cbp_runlts_rv,RUNLTS (load RV),200000000,174705988,1.144780,0.0328,0.0328,10.602,99.9800,34.87,0.999862,-53.5547,-53.6300,-54.2230
708.sqlite_r.sp0,708.sqlite_r,0.4708,cbp_perfdir,Perfect direction,200000000,174583283,1.145585,0.0000,0.0000,0.004,100.0000,0.00,1.000564,99.8363,100.0000,99.9359
708.sqlite_r.sp0,708.sqlite_r,0.4708,cbp_perfall,Perfect direction+target,200000000,174583473,1.145584,0.0000,0.0000,0.000,100.0000,0.00,1.000563,100.0000,100.0000,100.0000
708.sqlite_r.sp1,708.sqlite_r,0.2678,cbp_tagescl64,TAGE-SC-L 64KB,200000004,175704017,1.138278,2.7890,1.7881,503.233,98.6000,0.00,1.000000,0.0000,0.0000,0.0000
708.sqlite_r.sp1,708.sqlite_r,0.2678,cbp_tagescl192,TAGE-SC-L 192KB,200000004,175443682,1.139967,2.7320,1.7320,500.674,98.6300,0.00,1.001484,2.0437,3.1396,0.5084
708.sqlite_r.sp1,708.sqlite_r,0.2678,cbp_ddtage,DD-TAGE (Ros),200000004,175537867,1.139355,2.7490,1.7490,501.430,98.6200,0.00,1.000947,1.4342,2.1900,0.3582
708.sqlite_r.sp1,708.sqlite_r,0.2678,cbp_runlts,RUNLTS (no RV),200000004,174915592,1.143409,2.6380,1.6381,488.443,98.6700,0.00,1.004507,5.4141,8.3904,2.9390
708.sqlite_r.sp1,708.sqlite_r,0.2678,cbp_runlts_rv,RUNLTS (load RV),200000004,174879592,1.143644,2.6190,1.6188,488.723,98.6800,33.72,1.004714,6.0954,9.4675,2.8834
708.sqlite_r.sp1,708.sqlite_r,0.2678,cbp_perfdir,Perfect direction,200000004,159825094,1.251368,1.0050,0.0000,174.560,99.5000,0.00,1.099352,63.9656,100.0000,65.3122
708.sqlite_r.sp1,708.sqlite_r,0.2678,cbp_perfall,Perfect direction+target,200000004,154572209,1.293894,0.0000,0.0000,0.000,100.0000,0.00,1.136712,100.0000,100.0000,100.0000
708.sqlite_r.sp2,708.sqlite_r,0.2614,cbp_tagescl64,TAGE-SC-L 64KB,200000002,112884985,1.771715,0.6646,0.5930,130.781,99.6800,0.00,1.000000,0.0000,0.0000,0.0000
708.sqlite_r.sp2,708.sqlite_r,0.2614,cbp_tagescl192,TAGE-SC-L 192KB,200000002,112815385,1.772808,0.6544,0.5828,129.654,99.6800,0.00,1.000617,1.5348,1.7226,0.8611
708.sqlite_r.sp2,708.sqlite_r,0.2614,cbp_ddtage,DD-TAGE (Ros),200000002,112771557,1.773497,0.6514,0.5798,129.135,99.6800,0.00,1.001006,1.9862,2.2285,1.2585
708.sqlite_r.sp2,708.sqlite_r,0.2614,cbp_runlts,RUNLTS (no RV),200000002,112796846,1.773099,0.6519,0.5803,129.476,99.6800,0.00,1.000781,1.9109,2.1459,0.9978
